Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
UAA,Under Armour,23.88,0.74,3.20%,24.25,23.33,6828000,11/30/2018
UAL,United Continental Holdings,96.7,1.63,1.71%,96.8,94.9,4033900,11/30/2018
UDR,United Dominion Realty Trust,42.62,0.73,1.74%,42.64,42,3910100,11/30/2018
UHS,Universal Health Services,137.99,0.13,0.09%,138.98,136.49,1216200,11/30/2018
ULTA,Ulta Salon Cosmetic,297.79,-2.58,-0.86%,301.95,296.42,971100,11/30/2018
UNH,Unitedhealth Group Inc,281.36,-1.19,-0.42%,283.64,279.07,6143300,11/30/2018
UNM,Unumprovident Corp,35.91,-0.48,-1.32%,36.52,35.7,2887200,11/30/2018
UNP,Union Pacific Corp,153.78,3.3,2.19%,154.37,150.14,6214400,11/30/2018
UPS,United Parcel Service,115.29,2.03,1.79%,115.44,113.19,3564200,11/30/2018
URI,United Rentals,117.13,1.21,1.04%,117.88,114.76,1477400,11/30/2018
USB,U.S. Bancorp,54.46,0.42,0.78%,54.88,54.04,10299200,11/30/2018
UTX,United Technologies Corp,121.84,0.64,0.53%,122.32,120.04,9636700,11/30/2018
V,Visa Inc,141.71,2.61,1.88%,142.26,138.63,11362699,11/30/2018
VAR,Varian Medical Systems,123.39,2.2,1.82%,123.85,120.58,1294000,11/30/2018
VFC,V.F. Corp,81.29,1.83,2.30%,81.49,78.77,4199700,11/30/2018
VIAB,Viacom Inc Cl B,30.86,-1.17,-3.65%,32.13,30.25,10064700,11/30/2018
VLO,Valero Energy Corp,79.9,0.43,0.54%,80.45,78.39,5685600,11/30/2018
VMC,Vulcan Materials Company,105.71,-1.21,-1.13%,107.44,105.57,1254600,11/30/2018
VNO,Vornado Realty Trust,71.96,1.38,1.96%,72.06,70.62,1569800,11/30/2018
VRSK,Verisk Analytics Inc,123.32,-0.51,-0.41%,124.5,122.9,1194600,11/30/2018
VRSN,Verisign Inc,156.06,-0.6,-0.38%,157.89,155.53,984200,11/30/2018
VRTX,Vertex Pharmaceutic,180.79,1.34,0.75%,181,178.33,1095900,11/30/2018
VTR,Ventas Inc,63.49,1.04,1.67%,63.63,62.17,2735400,11/30/2018
VZ,Verizon Communications Inc,60.3,0.85,1.43%,60.37,59.47,31142799,11/30/2018
WAT,Waters Corp,198.58,-4.91,-2.41%,199.67,195.17,1044000,11/30/2018
WBA,Walgreens Boots Alliance,84.67,-0.18,-0.21%,85.31,83.79,8323500,11/30/2018
WCG,Wellcare Group,254.88,6.06,2.44%,257.75,248.68,4145700,11/30/2018
WDC,Western Digital Cp,45.39,-0.13,-0.29%,45.71,43.41,9420700,11/30/2018
WEC,Wisconsin Energy Corp,72.48,1.48,2.08%,72.52,71.08,2229900,11/30/2018
WELL,Welltower Inc,72.33,0.9,1.26%,72.34,71,3284300,11/30/2018
WFC,Wells Fargo & Company,54.28,0.24,0.44%,54.55,53.87,18939199,11/30/2018
WHR,Whirlpool Corp,126.13,-0.27,-0.21%,126.61,124.92,744700,11/30/2018
WLTW,Willis Towers Wts,159.45,0.96,0.61%,160.18,158.66,1149300,11/30/2018
WM,Waste Management,93.75,1.03,1.11%,94.08,92.89,2504900,11/30/2018
WMB,Williams Companies,25.32,-0.24,-0.94%,25.64,25.25,10366100,11/30/2018
WMT,Wal-Mart Stores,97.65,0.36,0.37%,98.43,97.07,10664000,11/30/2018
WRK,Westrock Company,47.11,0.76,1.64%,47.32,46.12,2647600,11/30/2018
WU,Western Union Company,18.73,0.05,0.27%,18.75,18.58,6875400,11/30/2018
WY,Weyerhaeuser Company,26.41,-0.33,-1.23%,26.82,26.03,5771500,11/30/2018
WYNN,Wynn Resorts Ltd,109.4,1.28,1.18%,109.69,106.63,3025700,11/30/2018
XEC,Cimarex Energy Co,81.98,-1.62,-1.94%,83.07,81.36,1298700,11/30/2018
XEL,XCEL Energy Inc,52.45,0.92,1.79%,52.49,51.52,4588900,11/30/2018
XLNX,Xilinx Inc,92.48,1.28,1.40%,92.49,90.45,3071300,11/30/2018
XOM,Exxon Mobil Corp,79.5,0.44,0.56%,79.6,78.32,14040100,11/30/2018
XRAY,Dentsply Sirona Inc,37.78,0.79,2.14%,37.91,36.71,2672400,11/30/2018
XRX,Xerox Corp,26.92,0.04,0.15%,27.11,26.76,3418800,11/30/2018
XYL,Xylem Inc,72.98,1.68,2.36%,73.09,70.96,1547700,11/30/2018
YUM,Yum! Brands,92.22,0.36,0.39%,92.44,91.31,4725000,11/30/2018
ZBH,Zimmer Biomet Holdings,117.02,2.06,1.79%,117.14,114.84,1256000,11/30/2018
ZION,Zions Bancorporation,48.66,0.45,0.93%,48.94,47.95,4656300,11/30/2018
ZTS,Zoetis Inc Class A,93.87,1.1,1.19%,94.17,92.46,3143500,11/30/2018
Downloaded from Barchart.com as of 12-02-2018 11:16pm CST,,,,,,,,
